"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
54,"admin.","married","high.school","no","unknown","unknown","telephone","may","wed",45,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"0"
28,"technician","married","professional.course","no","yes","no","telephone","may","tue",80,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"0"
40,"admin.","single","university.degree","no","yes","no","cellular","jul","tue",220,4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"0"
34,"blue-collar","married","basic.9y","unknown","yes","yes","telephone","may","mon",100,3,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"0"
39,"admin.","married","high.school","unknown","yes","no","telephone","jun","thu",71,6,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"0"
36,"admin.","single","university.degree","no","no","no","cellular","aug","thu",110,1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"0"
35,"blue-collar","married","basic.9y","unknown","yes","no","cellular","apr","thu",114,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.483,5099.1,"0"
46,"admin.","single","university.degree","no","no","no","cellular","may","mon",344,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.264,5099.1,"0"
43,"blue-collar","married","basic.4y","no","no","no","cellular","may","tue",217,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"0"
49,"admin.","single","university.degree","no","yes","no","telephone","jul","thu",344,10,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"0"
51,"admin.","married","university.degree","no","yes","no","cellular","nov","tue",275,2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"0"
29,"admin.","single","university.degree","no","yes","no","telephone","may","wed",248,3,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"0"
53,"blue-collar","married","basic.9y","unknown","no","no","cellular","nov","thu",64,2,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"0"
43,"services","married","basic.6y","unknown","yes","no","cellular","jul","mon",65,4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"0"
27,"blue-collar","single","basic.9y","no","yes","yes","cellular","jul","mon",204,3,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"0"
47,"admin.","divorced","high.school","no","no","no","cellular","nov","tue",352,1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"0"
33,"blue-collar","married","high.school","unknown","no","no","cellular","may","tue",272,5,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,"0"
27,"services","single","high.school","no","no","no","cellular","jul","fri",239,8,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"0"
46,"admin.","married","high.school","no","no","yes","telephone","jun","fri",492,3,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"0"
43,"admin.","married","high.school","unknown","yes","no","cellular","jun","mon",153,1,999,0,"nonexistent",-2.9,92.963,-40.8,1.266,5076.2,"0"
34,"admin.","divorced","high.school","no","no","no","cellular","mar","fri",156,1,999,0,"nonexistent",-1.8,93.369,-34.8,0.636,5008.7,"0"
38,"technician","married","professional.course","no","yes","no","cellular","nov","wed",111,1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"0"
36,"unknown","single","basic.6y","unknown","yes","no","telephone","may","wed",660,1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"0"
53,"entrepreneur","married","university.degree","unknown","no","yes","cellular","aug","thu",314,2,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"0"
27,"management","single","university.degree","no","yes","no","telephone","jun","tue",216,1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"0"
40,"self-employed","married","basic.9y","unknown","no","no","cellular","nov","tue",53,1,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,"0"
36,"admin.","single","university.degree","no","no","no","telephone","may","thu",121,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"0"
55,"admin.","married","high.school","unknown","yes","no","cellular","may","tue",139,2,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,"0"
32,"technician","single","university.degree","no","no","yes","telephone","nov","thu",197,7,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"0"
46,"technician","divorced","professional.course","no","no","no","cellular","jul","tue",114,4,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"0"
42,"blue-collar","married","basic.4y","no","yes","no","cellular","may","fri",58,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"0"
48,"self-employed","married","university.degree","unknown","yes","no","telephone","may","thu",750,2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"0"
34,"technician","married","professional.course","no","yes","yes","telephone","may","fri",224,3,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"0"
50,"blue-collar","married","professional.course","no","yes","no","cellular","nov","thu",475,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"0"
46,"services","married","high.school","no","no","yes","cellular","jul","mon",306,1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"0"
43,"admin.","married","high.school","no","yes","no","telephone","nov","tue",82,6,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"0"
46,"admin.","married","university.degree","unknown","no","no","cellular","aug","tue",515,9,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"0"
33,"admin.","married","high.school","no","yes","no","telephone","aug","wed",578,2,999,0,"nonexistent",-2.9,92.201,-31.4,0.854,5076.2,"0"
34,"admin.","married","high.school","no","yes","yes","telephone","may","fri",20,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"0"
43,"blue-collar","single","basic.9y","no","yes","no","telephone","jun","wed",354,21,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,"0"
25,"blue-collar","single","basic.9y","no","yes","no","cellular","jul","fri",773,3,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"0"
37,"entrepreneur","single","university.degree","no","no","no","telephone","may","fri",180,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"0"
25,"admin.","married","high.school","no","no","no","cellular","may","mon",261,1,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"0"
34,"technician","single","professional.course","no","yes","no","cellular","aug","mon",138,1,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"0"
27,"student","single","university.degree","no","no","yes","telephone","jun","thu",137,1,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"0"
42,"entrepreneur","married","high.school","no","yes","no","telephone","may","fri",81,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"0"
33,"technician","married","professional.course","no","yes","no","cellular","jul","thu",226,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"0"
39,"services","married","professional.course","no","no","no","cellular","nov","thu",161,7,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"0"
31,"student","single","unknown","no","no","yes","cellular","may","mon",535,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"0"
47,"housemaid","divorced","basic.4y","unknown","no","no","cellular","jul","mon",255,1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"0"
39,"admin.","single","university.degree","no","yes","yes","cellular","may","mon",292,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"0"
31,"services","married","high.school","no","no","no","telephone","apr","mon",151,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"0"
44,"blue-collar","married","basic.9y","no","no","no","cellular","jul","fri",41,3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"0"
62,"retired","divorced","high.school","no","yes","no","cellular","jun","fri",201,4,999,0,"nonexistent",-1.7,94.055,-39.8,0.732,4991.6,"0"
53,"self-employed","married","basic.4y","no","no","no","telephone","may","tue",29,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"0"
58,"blue-collar","married","basic.9y","no","no","no","cellular","aug","mon",498,1,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"0"
33,"admin.","single","university.degree","no","yes","no","cellular","apr","fri",76,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"0"
57,"technician","married","basic.9y","unknown","yes","yes","cellular","jul","thu",155,6,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"0"
26,"blue-collar","married","high.school","no","yes","no","cellular","jul","thu",49,1,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"0"
49,"blue-collar","married","basic.6y","unknown","no","yes","cellular","may","tue",354,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"0"
36,"admin.","single","basic.9y","no","no","yes","cellular","jul","tue",155,2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"0"
54,"admin.","married","high.school","no","yes","no","cellular","aug","fri",107,1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"0"
51,"admin.","married","high.school","no","yes","no","cellular","nov","wed",121,3,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"0"
45,"blue-collar","single","basic.4y","unknown","no","no","telephone","jun","tue",254,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"0"
27,"admin.","married","professional.course","no","no","no","cellular","may","thu",68,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"0"
44,"admin.","divorced","university.degree","no","no","no","telephone","apr","thu",74,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.483,5099.1,"0"
41,"blue-collar","divorced","unknown","no","yes","no","telephone","jul","tue",351,11,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"0"
41,"technician","single","university.degree","no","yes","yes","cellular","jul","wed",184,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"0"
58,"services","married","basic.4y","no","no","no","telephone","jun","thu",322,2,999,0,"nonexistent",1.4,94.465,-41.8,4.955,5228.1,"0"
39,"entrepreneur","married","professional.course","no","yes","no","cellular","nov","thu",291,2,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"0"
53,"admin.","divorced","university.degree","no","no","yes","cellular","nov","tue",172,1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"0"
58,"management","divorced","university.degree","no","no","no","telephone","may","thu",415,7,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"0"
33,"admin.","married","high.school","unknown","yes","no","cellular","may","tue",17,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"0"
31,"admin.","single","university.degree","no","no","no","cellular","aug","thu",331,2,999,0,"nonexistent",-2.9,92.201,-31.4,0.883,5076.2,"0"
32,"technician","married","university.degree","no","yes","no","cellular","jul","thu",19,6,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"0"
50,"admin.","married","high.school","no","no","yes","cellular","aug","tue",519,3,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"0"
54,"technician","married","professional.course","no","no","no","cellular","jul","fri",796,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"0"
37,"services","married","high.school","no","no","yes","cellular","apr","fri",175,1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"0"
29,"technician","single","professional.course","no","no","no","telephone","may","thu",388,2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"0"
42,"admin.","married","unknown","no","no","no","cellular","nov","mon",55,1,999,1,"failure",-0.1,93.2,-42,4.191,5195.8,"0"
29,"unknown","married","university.degree","no","unknown","unknown","telephone","may","fri",282,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"0"
55,"admin.","married","basic.9y","unknown","no","yes","telephone","may","thu",103,2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"0"
47,"technician","married","unknown","unknown","yes","no","cellular","nov","fri",57,2,999,1,"failure",-0.1,93.2,-42,4.021,5195.8,"0"
30,"self-employed","married","basic.9y","unknown","no","no","cellular","may","fri",73,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"0"
33,"blue-collar","married","basic.9y","no","yes","no","cellular","nov","wed",244,1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"0"
40,"admin.","single","university.degree","unknown","no","no","telephone","jun","tue",99,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"0"
37,"admin.","divorced","high.school","unknown","yes","yes","telephone","may","wed",354,5,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"0"
28,"admin.","single","high.school","no","yes","no","cellular","mar","thu",181,2,999,0,"nonexistent",-1.8,92.843,-50,1.538,5099.1,"0"
45,"unemployed","single","professional.course","no","no","no","cellular","nov","tue",191,2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"0"
35,"technician","single","professional.course","unknown","no","no","telephone","may","wed",198,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"0"
31,"admin.","married","high.school","no","yes","yes","cellular","jul","fri",44,4,999,0,"nonexistent",-1.7,94.215,-40.3,0.861,4991.6,"0"
41,"blue-collar","divorced","basic.4y","no","no","yes","cellular","apr","thu",316,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.41,5099.1,"0"
32,"admin.","married","high.school","no","yes","yes","cellular","jul","thu",23,22,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"0"
39,"admin.","single","unknown","no","yes","no","telephone","jun","mon",163,2,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"0"
55,"technician","single","university.degree","unknown","yes","no","telephone","may","fri",390,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"0"
43,"services","married","basic.6y","no","yes","no","cellular","may","fri",68,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"0"
48,"technician","married","university.degree","no","yes","no","cellular","nov","tue",82,1,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,"0"
30,"admin.","single","high.school","no","yes","no","cellular","may","mon",57,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"0"
32,"admin.","divorced","high.school","no","unknown","unknown","cellular","jul","thu",81,4,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"0"
31,"blue-collar","married","basic.4y","no","no","no","cellular","nov","thu",37,2,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"0"
36,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","tue",267,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"0"
44,"blue-collar","married","professional.course","unknown","yes","no","telephone","jun","wed",43,1,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"0"
52,"technician","married","basic.9y","no","yes","no","cellular","nov","tue",54,1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"0"
24,"entrepreneur","married","university.degree","unknown","no","no","telephone","may","fri",1193,2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"0"
34,"admin.","divorced","basic.6y","no","no","no","telephone","may","fri",111,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"0"
34,"services","married","high.school","unknown","unknown","unknown","telephone","jun","fri",82,3,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"0"
28,"blue-collar","married","basic.6y","unknown","yes","yes","telephone","may","thu",318,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"0"
50,"retired","married","university.degree","no","no","no","cellular","nov","fri",128,3,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"0"
57,"entrepreneur","married","university.degree","no","no","no","telephone","jul","wed",337,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"0"
28,"services","single","high.school","no","yes","yes","telephone","may","fri",386,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"0"
48,"blue-collar","married","basic.9y","no","no","yes","cellular","aug","mon",221,1,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"0"
88,"retired","divorced","basic.4y","no","yes","yes","cellular","mar","wed",82,2,999,0,"nonexistent",-1.8,92.843,-50,1.663,5099.1,"0"
30,"blue-collar","married","basic.4y","no","no","no","cellular","nov","wed",209,3,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"0"
73,"retired","married","university.degree","no","yes","no","cellular","mar","tue",179,1,999,1,"failure",-1.8,92.843,-50,1.687,5099.1,"0"
38,"student","single","unknown","unknown","yes","yes","cellular","jul","mon",76,4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"0"
57,"unemployed","married","basic.9y","unknown","yes","no","telephone","may","mon",45,5,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"0"
34,"technician","single","university.degree","no","no","no","cellular","jul","tue",120,3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"0"
40,"admin.","married","high.school","unknown","no","no","telephone","jun","thu",89,6,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"0"
42,"technician","married","professional.course","unknown","yes","no","cellular","nov","mon",94,1,4,1,"success",-0.1,93.2,-42,4.191,5195.8,"0"
41,"technician","married","high.school","no","no","no","telephone","jun","fri",8,12,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"0"
55,"blue-collar","married","basic.4y","unknown","yes","yes","telephone","jun","mon",266,2,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"0"
45,"admin.","single","university.degree","no","yes","no","cellular","aug","wed",25,12,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"0"
36,"services","married","basic.6y","no","no","no","telephone","may","fri",296,3,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"0"
45,"admin.","married","high.school","no","no","no","cellular","apr","fri",191,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"0"
46,"services","married","high.school","no","no","no","cellular","apr","mon",53,1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"0"
52,"unemployed","married","high.school","no","unknown","unknown","telephone","jun","thu",90,5,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"0"
44,"blue-collar","married","basic.6y","no","yes","yes","cellular","apr","mon",7,6,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"0"
54,"housemaid","married","professional.course","no","yes","no","telephone","jun","mon",152,4,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"0"
45,"self-employed","married","basic.4y","no","yes","no","cellular","nov","tue",475,1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"0"
33,"services","single","basic.9y","no","no","no","telephone","may","mon",372,14,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"0"
34,"management","married","high.school","no","yes","no","cellular","nov","wed",228,3,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"0"
35,"blue-collar","single","basic.4y","no","no","no","cellular","may","fri",12,5,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"0"
23,"technician","single","high.school","no","no","no","cellular","may","thu",104,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"0"
33,"management","married","basic.9y","unknown","yes","no","cellular","may","tue",275,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"0"
29,"technician","married","professional.course","no","no","no","telephone","may","tue",492,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"0"
50,"admin.","married","university.degree","no","yes","no","cellular","aug","tue",304,8,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"0"
48,"technician","single","unknown","unknown","no","no","telephone","may","thu",257,7,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"0"
36,"blue-collar","married","high.school","no","yes","no","cellular","dec","thu",234,1,999,0,"nonexistent",-0.2,92.756,-45.9,3.329,5176.3,"0"
34,"technician","married","professional.course","no","yes","yes","cellular","sep","fri",120,1,6,3,"success",-1.1,94.199,-37.5,0.883,4963.6,"0"
